sleeper_id,team
12889,NYG
12993,FA
12761,CIN
12826,IND
12773,LAC
12777,PIT
12815,FA
12884,FA
12883,ATL
12909,IND
13189,CLE
12750,FA
12955,PIT
13064,FA
12855,DAL
13149,FA
13011,LAR
12746,CHI
12853,DAL
13202,LAC
12838,LAC
12824,BUF
13088,FA
12479,FA
12927,GBP
13019,LVR
13150,PHI
12938,DET
13029,FA
12797,CLE
13065,FA
12956,CAR
13187,TBB
13145,KCC
12840,LAC
12942,MIN
12897,ATL
13101,CLE
13104,CLE
12910,JAC
13215,HOU
13079,CHI
12835,LAC
12879,MIN
13174,KCC
12957,CAR
12790,TBB
12787,TBB
13075,MIN
12978,NEP
12781,DEN
13120,WAS
11560,CHI
11564,NEP
11566,WAS
11563,DEN
11559,ATL
11565,MIN
11557,DAL
11562,NOS
11376,WAS
11561,FA
11567,FA
12259,FA
11556,FA
12009,FA
11586,LAR
11589,ARI
11579,NOS
11576,NYJ
11583,CAR
11584,TBB
11573,BUF
11644,DEN
11577,PHI
11578,FA
11575,BUF
11581,GBP
11590,FA
11649,CIN
12356,DET
12048,SEA
11580,FA
11643,MIA
11998,FA
11582,PHI
11574,LVR
11628,ARI
11632,NYG
11620,CHI
11637,BUF
11631,JAC
11627,DEN
11624,KCC
11629,BAL
11638,SFO
11621,GBP
11633,CLE
11636,PHI
11625,NYJ
11635,LAC
11618,TBB
11630,PIT
11608,NYJ
11619,NOS
11640,FA
11623,LAR
11921,ARI
11650,WAS
11617,CLE
11645,SFO
11626,CAR
11616,SFO
11604,LVR
11599,HOU
11600,CAR
11596,WAS
11592,CIN
11605,PIT
11593,DAL
11595,KCC
11597,NYG
11667,MIN
11669,IND
11721,ATL
11665,CLE
11714,DEN
11663,MIA
11679,TBB
11740,ATL
11767,FA
11908,MIN
11658,ARI
11692,CLE
11688,CIN
11743,LAC
11752,PHI
11701,LAC
11761,LVR
11742,TEN
12130,FA
11747,NOS
11675,NOS
11661,FA
11685,HOU
11656,BAL
11830,ARI
11678,PHI
11726,LAR
11686,GBP
11729,DET
11674,NYG
11786,JAC
11792,MIN
11648,ARI
11652,FA
11610,MIA
11615,CAR
11654,NYG
11651,SFO
11668,SEA
11662,PHI
11695,JAC
11699,WAS
11691,NYJ
11677,LAR
11693,ARI
11687,GBP
11698,ATL
11676,WAS
11694,DAL
11682,BUF
11689,DET
11697,SFO
11700,NYG
11724,CAR
11710,HOU
11716,ARI
11720,DAL
11705,TBB
11717,ARI
11712,GBP
11722,BAL
11703,PHI
11706,BUF
11725,JAC
11713,CIN
11727,PIT
11744,ARI
11741,FA
11739,GBP
11738,LVR
11736,CIN
11734,SEA
11603,SEA
11732,CHI
11731,SFO
11730,BAL
11728,KCC
11753,SEA
11779,LAC
11778,WAS
11749,LAC
11762,IND
11770,ATL
11760,CHI
11765,DEN
11766,NYJ
11764,CIN
11777,IND
11772,FA
11751,LVR
11771,CAR
11754,TBB
11757,CLE
11750,FA
11775,GBP
11570,BAL
11655,NYG
11773,FA
11759,BUF
11763,GBP
11748,NOS
11571,NYJ
11769,DAL
11755,NYJ
11811,PIT
11809,NEP
11647,LAC
11808,HOU
11807,NYG
11806,FA
11805,HOU
11804,DET
11802,ARI
11801,FA
11598,FA
11800,FA
11799,LAR
11798,BUF
11797,NYG
11796,NOS
11795,GBP
11794,FA
11588,HOU
11790,CLE
11789,FA
11787,GBP
11785,CIN
11783,DAL
11781,BUF
11816,WAS
11826,FA
11831,CIN
11837,ARI
11836,CLE
11825,LVR
11819,MIN
11827,LVR
11834,NOS
11844,NOS
11829,HOU
11843,FA
11821,MIA
11847,TEN
11846,NYJ
11839,FA
11820,TBB
11828,NEP
11841,TEN
11842,SFO
11835,TEN
11815,BAL
11822,CIN
11568,FA
11931,FA
12013,FA
12114,JAC
11606,FA
12007,FA
11646,CAR
11963,LVR
11943,FA
12029,FA
11857,FA
11924,FA
12164,TEN
12171,HOU
12031,NEP
12188,FA
11946,FA
11951,NYG
11964,BAL
12224,FA
11901,FA
11864,FA
12080,FA
11947,FA
12212,FA
12057,CAR
12402,FA
11941,FA
12357,TEN
12172,FA
11886,FA
12210,PIT
11990,FA
12111,DEN
11969,CIN
12068,KCC
12045,NEP
12133,FA
11907,FA
12420,FA
12015,LAR
12139,FA
12421,FA
12370,FA
12385,NYG
11925,FA
12005,FA
12242,FA
12070,FA
11906,FA
11895,NOS
11989,FA
11885,FA
11860,NOS
12270,FA
11929,MIN
12140,LAR
12036,BUF
12397,BUF
11949,FA
12438,FA
12319,CLE
12190,FA
12037,DAL
11934,WAS
11851,JAC
11994,TBB
11855,NEP
12269,HOU
11898,ATL
12163,CIN
11930,MIN
12147,MIA
11905,MIN
11993,CAR
12238,NYJ
12030,NYJ
12050,CLE
12185,IND
11899,NYG
11942,WAS
12115,NEP
12183,KCC
11893,NOS
12142,LAR
12137,NEP
11328,MIN
11872,DET
12011,CAR
12230,LAR
12345,SFO
11923,SFO
12132,LAR
11986,FA
12412,NEP
12128,FA
12374,CLE
11897,FA
11861,PIT
12243,SEA
12056,NYJ
11959,TEN
12062,CIN
11896,NOS
12089,TEN
12096,NYG
12102,PHI
12255,CIN
12160,DET
11900,FA
12182,NEP
11974,TEN
12234,GBP
12391,CAR
12161,DET
12124,MIA
12146,FA
12076,NYJ
12058,CIN
12087,LAC
7865,PIT
8089,FA
9230,PHI
8620,LVR
9228,CAR
9999,TEN
9758,HOU
9998,TEN
9229,IND
10857,LAR
9231,FA
10233,FA
10215,FA
10860,DET
10862,FA
10866,LVR
10217,FA
9509,ATL
9221,DET
9222,FA
9225,PHI
9508,TEN
9506,TBB
9226,MIA
9227,DAL
9753,SEA
10216,SEA
9757,NOS
10651,FA
10223,NYG
10219,JAC
10235,CHI
9505,FA
10865,FA
9511,LAC
9512,FA
9220,HOU
9224,CIN
10211,FA
9497,NYG
10222,GBP
9488,SEA
9756,MIN
9500,IND
9754,LAC
9494,DEN
9997,BAL
10444,CLE
9487,JAC
9504,NEP
10229,KCC
9486,PHI
10863,PIT
10225,DAL
9495,PIT
9492,NOS
11382,FA
10218,HOU
10221,NOS
10228,CIN
9502,HOU
9490,LAR
10232,ARI
10226,CIN
9759,FA
9498,FA
9489,LVR
9493,LAR
9482,LVR
10236,BUF
10859,DET
9481,GBP
9479,PIT
10210,PHI
10227,TBB
10214,LAR
10220,IND
10871,DAL
9484,GBP
10892,HOU
10875,CIN
10908,ARI
10889,NOS
10934,ATL
10873,PHI
11084,WAS
10885,GBP
10929,DEN
10982,SEA
10888,PHI
10935,BAL
10911,SEA
10970,HOU
10969,ARI
10984,CHI
10880,DET
10913,PIT
10891,SEA
10962,PHI
10900,FA
10905,DET
10927,CIN
10974,JAC
11011,DEN
9483,FA
11276,FA
10881,NEP
10883,NYJ
10882,LAR
10879,TBB
10878,NYG
10874,NOS
10872,KCC
10877,NYJ
10928,FA
10909,CIN
10906,MIA
10904,SFO
10903,WAS
10901,PIT
10899,CHI
10898,LAC
10897,CHI
10894,CIN
9480,JAC
10924,NYG
10919,ATL
10925,PHI
10932,ARI
10926,HOU
10917,LAR
10938,FA
10921,TBB
10930,DEN
10914,LAC
10936,SFO
10916,LAR
10933,DAL
10923,BUF
10931,FA
10937,WAS
10213,LVR
10918,IND
10963,PHI
10958,HOU
10957,IND
10955,ARI
10954,ATL
10952,IND
10949,KCC
10947,JAC
10945,FA
10944,BAL
10234,LAC
10943,CLE
10942,WAS
10941,DET
10940,PIT
10939,MIN
10992,JAC
10991,FA
10990,WAS
10989,NEP
10988,IND
10986,ATL
10985,NOS
10212,GBP
10983,CIN
10980,TBB
10978,SFO
10976,LVR
10975,IND
10973,CAR
10972,CHI
10971,FA
10967,FA
10966,MIA
11020,KCC
11009,GBP
11014,ARI
10999,TBB
10995,SFO
11000,NYG
10996,NYJ
11007,NEP
11002,FA
10998,PHI
10231,ARI
10997,TEN
10994,LAC
11018,JAC
11003,FA
11001,NYG
11008,FA
11019,TEN
10993,WAS
9501,NEP
11004,PHI
11015,ARI
11006,DAL
11017,DAL
11010,LVR
11054,FA
11053,FA
11052,IND
11051,LAR
11050,ATL
11047,FA
11046,SFO
11043,FA
11042,GBP
11041,BUF
11040,FA
9510,PIT
11038,FA
11037,PIT
11036,FA
11035,GBP
11034,ARI
11033,NEP
11032,CIN
10224,SFO
11031,HOU
11030,PHI
11029,NYG
11027,MIA
11026,CHI
11025,SFO
11024,FA
11022,LAC
11021,LAR
9223,FA
11214,FA
9499,NYG
10870,NEP
11146,FA
11232,FA
11086,MIN
11256,CHI
11199,KCC
10861,FA
11370,GBP
11176,FA
11505,FA
11439,DEN
11510,DAL
11472,FA
10867,SEA
11344,FA
11506,NOS
11270,FA
11335,FA
11192,FA
10869,FA
11225,FA
9503,FA
11104,FA
11068,CIN
11528,FA
11130,FA
11114,FA
11145,NOS
11119,LAC
8938,FA
11210,ATL
11533,DAL
11170,FA
11306,NYG
11216,FA
11514,DAL
11261,CLE
11430,FA
11457,FA
11320,KCC
11311,KCC
11378,FA
11371,NEP
11354,FA
11247,FA
11168,LAR
11474,ATL
11133,FA
11173,PIT
11435,SEA
11511,FA
11077,FA
11108,TEN
11347,FA
11483,FA
11350,TEN
11098,NYG
11292,NEP
11184,FA
11230,SEA
11058,IND
11105,PHI
11432,FA
11381,ARI
11309,CLE
11479,FA
11470,SEA
11377,BUF
11139,FA
11278,PHI
11193,GBP
11099,FA
11427,DET
11107,FA
11454,NEP
11352,CLE
11277,FA
11429,HOU
11076,MIN
11455,FA
11433,DEN
11315,NYG
11150,SFO
11082,MIA
11441,CAR
11396,SEA
11425,FA
11305,CAR
11458,FA
11280,SEA
11122,DEN
11487,FA
11339,FA
11121,SEA
11512,DAL
11272,FA
11343,ARI
11338,NEP
11384,FA
11169,FA
11273,BUF
11290,CHI
11336,ARI
11489,MIN
11348,DET
11257,LVR
11096,FA
11206,GBP
11258,FA
11209,FA
11132,NYG
11072,WAS
11436,ARI
11391,MIA
11085,MIN
11353,DEN
8576,LAC
11233,SEA
11275,PHI
8415,HOU
11539,DET
11237,DET
11495,FA
11297,FA
11186,MIA
11065,SFO
11070,FA
11288,FA
11345,DET
11395,NYJ
11304,PHI
11440,NYG
12427,DEN
11062,TEN
11201,CLE
11157,CAR
11467,FA
11421,NYG
11481,ATL
11535,DAL
11508,DAL
11394,DET
11251,CIN
11185,TEN
11135,FA
11056,HOU
11319,TEN
13240,FA
11299,MIN
11520,FA
11066,IND
8164,FA
8160,CAR
8162,DAL
8161,MIA
8158,FA
8157,NYJ
8159,FA
8183,SFO
8206,BAL
8216,FA
8431,FA
8915,FA
8201,FA
8199,FA
8212,FA
8193,FA
8155,NYJ
8153,FA
8150,LAR
8151,KCC
8132,ARI
8143,WAS
8139,FA
8138,BUF
8154,ATL
8129,PHI
8208,DEN
8174,FA
8123,LAC
8136,WAS
8120,FA
8230,NOS
8217,FA
8179,FA
8195,LAR
8122,ARI
8190,FA
8194,FA
8207,ATL
8149,FA
8116,GBP
8221,KCC
8218,FA
8152,FA
8800,DAL
8173,FA
8239,FA
8228,PIT
8220,SFO
8184,FA
8407,FA
8211,FA
8226,FA
8189,FA
8205,DET
8187,FA
8112,ATL
8135,WAS
8146,NYJ
8144,NOS
8119,ATL
8148,DET
8126,TEN
8118,CLE
8147,CAR
8191,FA
8134,BUF
8137,DAL
8140,FA
8200,NOS
8168,GBP
8223,SEA
8142,IND
8175,FA
8169,FA
8250,DET
8414,PHI
8209,FA
8166,FA
8178,FA
8198,FA
8125,NYG
8213,FA
8121,NEP
8114,FA
8196,FA
8176,PHI
8185,FA
8222,FA
8204,GBP
8180,LVR
8188,KCC
8117,MIA
8167,GBP
8229,FA
8186,FA
8202,GBP
8115,FA
8130,ARI
8127,LAC
8145,NYJ
8172,MIA
8131,NYG
8110,DAL
8181,LVR
8215,FA
8111,TBB
